TAZID,CO_TAZID,DEVACRES,HH,JOB,AUTO_JB,AUTO_HH,COMP_AUTO,AUTO_JB_WT,AUTO_HH_WT
1,0,0.000000,0.0,0.0,25,14,0,0,0
2,0,0.000000,0.0,0.0,77,94,0,0,0
3,0,0.000000,0.0,0.0,44952,29525,0,0,0
4,0,0.000000,0.0,0.0,2299,2216,0,0,0
5,0,0.000000,0.0,0.0,3377,1958,0,0,0
6,0,0.000000,0.0,0.0,66,202,0,0,0
7,0,0.000000,0.0,0.0,29,238,0,0,0
8,0,0.000000,0.0,0.0,86,139,0,0,0
9,0,0.000000,0.0,0.0,23,204,0,0,0
10,0,0.000000,0.0,0.0,827,415,0,0,0
11,0,0.000000,0.0,0.0,129,123,0,0,0
12,0,0.000000,0.0,0.0,12,10,0,0,0
13,0,0.000000,0.0,0.0,1124,976,0,0,0
14,0,0.000000,0.0,0.0,153,103,0,0,0
15,0,0.000000,0.0,0.0,335,297,0,0,0
16,0,0.000000,0.0,0.0,313,249,0,0,0
17,0,0.000000,0.0,0.0,11,7,0,0,0
18,0,0.000000,0.0,0.0,1205,784,0,0,0
19,0,0.000000,0.0,0.0,93,129,0,0,0
20,0,0.000000,0.0,0.0,324,263,0,0,0
21,0,0.000000,0.0,0.0,1693,923,0,0,0
22,0,0.000000,0.0,0.0,10904,6534,0,0,0
23,0,0.000000,0.0,0.0,7387,5039,0,0,0
24,0,0.000000,0.0,0.0,1286,858,0,0,0
25,0,0.000000,0.0,0.0,66,50,0,0,0
26,0,0.000000,0.0,0.0,0,1,0,0,0
27,0,0.000000,0.0,0.0,878,596,0,0,0
28,0,0.000000,0.0,0.0,0,0,0,0,0
29,0,0.000000,0.0,0.0,0,0,0,0,0
30,0,0.000000,0.0,0.0,0,0,0,0,0
31,1001,712.650800,25.7,83.4,919,787,832,23613,65612
32,1002,192.424000,251.8,232.7,990,869,947,249312,202215
33,1003,214.398600,213.8,78.9,992,874,970,211992,68955
34,1004,148.244800,60.2,92.2,1003,882,945,60376,81319
35,1005,635.715000,0.0,103.9,1003,883,883,0,91738
36,1006,2604.783000,0.0,2.0,1055,1021,1021,0,2042
37,1007,1360.324000,2.5,19.2,1142,1104,1111,2856,21199
38,1008,195.713000,111.9,89.7,1408,1334,1384,157571,119639
39,1009,93.852000,76.7,1.0,1331,1271,1330,102076,1271
40,1010,167.870600,112.5,14.9,1389,1321,1384,156230,19685
41,1011,107.210000,1.8,103.2,2832,2192,2210,5098,226241
42,1012,345.742000,22.0,157.4,2579,1978,2092,56733,311415
43,1013,440.680900,38.2,13.2,2595,1995,2492,99114,26334
44,1014,306.114000,4.2,0.0,1785,1407,1785,7498,0
45,1015,245.424800,90.9,408.9,2761,2133,2304,250972,872251
46,1016,675.514000,122.2,97.9,2622,2026,2429,320349,198364
47,1017,184.967000,222.8,246.7,2795,2188,2553,622740,539682
48,1018,142.192500,161.6,114.3,2774,2174,2596,448198,248490
49,1019,142.209600,124.9,69.8,2638,2077,2498,329528,144973
50,1020,176.207800,106.9,126.6,2810,2200,2558,300442,278496
51,1021,303.360000,242.7,437.9,2825,2217,2510,685668,970761
52,1022,197.677000,43.6,11.8,2601,2047,2524,113417,24157
53,1023,93.159000,27.0,9.8,2530,1993,2435,68315,19530
54,1024,163.623000,2.8,67.6,2848,2234,2274,7974,151025
55,1025,535.993000,16.8,28.8,2821,2210,2512,47393,63636
56,1026,406.555000,1.0,140.8,2836,2221,2228,2836,312743
57,1027,259.265500,0.0,1.8,2534,1967,1967,0,3541
58,1028,331622.932000,1.1,0.0,0,0,0,0,0
59,1029,363430.051000,1.1,0.0,18,14,18,19,0
60,1030,146540.241000,2.2,14.4,44,34,36,98,486
61,1031,5718.701000,0.0,82.4,405,265,265,0,21851
62,1032,3038.652000,0.0,0.0,339,219,0,0,0
63,1033,1649.866000,0.0,0.0,686,606,0,0,0
64,1034,3837.526000,2.2,81.4,625,471,478,1375,38341
65,1035,1028.181800,0.0,0.0,832,717,0,0,0
66,1036,799.522000,0.0,0.0,828,730,0,0,0
67,1037,238.509000,0.0,0.0,787,654,0,0,0
68,1038,198.877000,0.0,0.0,922,801,0,0,0
69,1039,233.187000,0.0,0.0,935,824,0,0,0
70,1040,245.955000,0.0,0.0,927,817,0,0,0
71,1041,878.454000,0.0,0.0,909,799,0,0,0
72,1042,252.043500,0.0,0.0,851,750,0,0,0
73,1043,812.205500,0.0,0.0,716,637,0,0,0
74,1044,1028.179000,0.0,0.0,509,453,0,0,0
75,1045,2131.000000,7.3,4.4,811,749,795,5923,3295
76,1046,1198.727700,13.7,11.0,907,805,874,12426,8859
77,1047,1305.854600,6.9,0.0,871,794,871,6008,0
78,1048,1041.549600,3.5,62.6,1028,924,933,3599,57843
79,1049,2284.826000,27.9,9.1,979,903,966,27304,8219
80,1050,1820.884000,2.8,0.0,979,887,979,2742,0
81,1051,576.702000,0.6,0.0,1062,965,1062,637,0
82,1052,3560.746000,9.8,0.0,683,644,683,6690,0
83,1053,1306.345000,3.5,0.0,884,838,884,3092,0
84,1054,2819.083000,2.3,8.5,979,922,940,2252,7841
85,1055,2649.902000,0.0,0.0,133,142,0,0,0
86,1056,3212.154800,1.2,0.0,678,650,678,814,0
87,1057,712.428000,3.5,0.0,809,782,809,2833,0
88,1058,3757.213000,6.9,3.3,880,846,872,6072,2792
89,1059,5916.015000,0.0,0.0,179,189,0,0,0
90,1060,9826.237000,0.0,0.0,210,221,0,0,0
91,1061,6363.792000,0.0,0.0,534,546,0,0,0
92,1062,11121.546000,0.0,8.5,15,9,9,0,76
93,1063,5603.221000,0.0,0.0,107,114,0,0,0
94,1064,12105.536000,0.0,0.0,128,136,0,0,0
95,1065,7396.718000,0.0,0.0,220,231,0,0,0
96,1066,7847.062000,0.0,0.0,147,157,0,0,0
97,1067,5744.497000,0.0,0.0,509,521,0,0,0
98,1068,1865.204000,1.2,0.0,830,824,830,996,0
99,1069,358.428000,2.3,0.0,1032,1010,1032,2373,0
100,1070,350.303600,4.9,0.0,1161,1126,1161,5688,0
101,1071,435.747800,0.0,0.0,1046,1022,0,0,0
102,1072,10498.286000,0.0,0.0,902,887,0,0,0
103,1073,55.642000,0.0,28.7,1405,1337,1337,0,38375
104,1074,100.109000,0.0,0.0,1346,1284,0,0,0
105,1075,13891.880000,0.0,2.2,751,744,744,0,1636
106,1076,154.687000,2.2,33.7,1243,1190,1195,2735,40101
107,1077,217.369000,5.7,0.0,1415,1325,1415,8068,0
