TAZID,CO_TAZID,DEVACRES,HH,JOB,AUTO_JB,AUTO_HH,COMP_AUTO,AUTO_JB_WT,AUTO_HH_WT
108,1078,36955.190000,1.2,0.0,529,496,529,635,0
109,1079,18593.042000,0.0,21.6,391,344,344,0,7420
110,1080,149758.557000,4.3,42.5,514,374,394,2212,15890
111,1081,1222.243000,0.0,0.0,1384,1064,0,0,0
112,1082,1820.015000,1.2,0.0,1405,1080,1405,1686,0
113,1083,1854.839000,0.0,8.5,1148,879,879,0,7471
114,1084,22382.987000,1.2,0.0,669,509,669,802,0
115,1085,2327.412000,3.5,0.0,1744,1321,1744,6104,0
116,1086,10188.078000,10.3,0.0,1501,1130,1501,15460,0
117,1087,14262.506000,4.6,0.0,1655,1302,1655,7614,0
118,1088,1606.367000,11.4,0.0,2095,1593,2095,23880,0
119,1089,1551.248000,27.5,2.8,2050,1573,2023,56371,4404
120,1090,2645.890000,30.1,0.0,376,335,376,11319,0
121,1091,749.353000,11.4,0.0,2386,1832,2386,27201,0
122,1092,682.108000,10.3,0.0,2374,1822,2374,24456,0
123,1093,254.335700,6.0,0.0,1421,1079,1421,8524,0
124,1094,993.250000,6.9,0.0,1024,850,1024,7063,0
125,1095,352.189000,1.2,2.6,1552,1231,1371,1863,3201
126,1096,2086.631000,10.1,0.0,776,647,776,7837,0
127,1097,30070.078000,2.1,4.4,149,119,132,314,523
128,1098,258.353000,30.8,22.4,2362,1857,2210,72761,41602
129,1099,255.394000,58.4,6.8,2163,1696,2132,126303,11533
130,1100,179.147000,28.6,24.6,2406,1893,2232,68810,46566
131,1101,350.274000,0.0,0.0,2644,2060,0,0,0
132,1102,955.722000,2.3,0.0,2468,1911,2468,5675,0
133,1103,1384.139000,0.0,0.0,2499,1937,0,0,0
134,1104,50141.139000,5.0,41.5,728,566,594,3642,23499
135,1105,1434.053000,0.0,0.0,1859,1407,0,0,0
136,1106,36189.697000,0.0,0.0,1242,980,0,0,0
137,1107,1504.410000,0.0,0.0,2280,1758,0,0,0
138,1108,868.173000,0.0,0.0,2339,1808,0,0,0
139,1109,1273.908900,1.2,0.0,2030,1583,2030,2436,0
140,1110,1912.780000,27.5,2.2,1269,1027,1258,34889,2259
141,1111,1400.078000,4.6,11.0,1708,1399,1527,7858,15390
142,1112,2220.629000,8.0,0.0,1421,1206,1421,11367,0
143,1113,2509.157700,8.0,0.0,1667,1368,1667,13333,0
144,1114,1410.938000,12.6,0.0,2036,1636,2036,25652,0
145,1115,2831.097000,14.9,0.0,2246,1770,2246,33467,0
146,1116,1464.013000,4.6,0.0,2311,1821,2311,10631,0
147,1117,960.211000,20.4,13.9,2465,1934,2312,50288,26884
148,1118,670.679000,0.0,0.0,2595,1990,0,0,0
149,3001,1001.033600,57.0,101.0,1872,1246,1550,106677,125878
150,3002,22224.366000,95.5,16.1,6540,4093,6317,624609,65896
151,3003,1860.625000,80.2,20.3,2805,1983,2698,224989,40263
152,3004,416.416000,142.9,31.5,11829,7965,11380,1690435,250885
153,3005,285.315900,161.3,83.1,18013,11742,16539,2905459,975797
154,3006,74.337900,80.2,46.5,21281,14427,19520,1706730,670846
155,3007,93.091600,129.3,99.2,22805,15549,20527,2948710,1542446
156,3008,43.100000,7.3,0.0,21143,14366,21143,154341,0
157,3009,225.175600,18.0,15.7,20543,13964,18291,369773,219238
158,3010,84.501600,137.7,67.7,21855,14902,20279,3009502,1008861
159,3011,182.095000,114.3,10.5,22420,15284,22049,2562562,160479
160,3012,82.726000,14.0,0.0,23412,15969,23412,327769,0
161,3013,72.531600,16.0,0.0,24971,17066,24971,399541,0
162,3014,98.246000,108.8,96.1,22310,15228,19866,2427373,1463388
163,3015,198.796800,196.9,28.8,23343,16005,22754,4596202,460950
164,3016,111.117000,23.9,23.2,24669,16880,21813,589597,391619
165,3017,1301.469000,139.6,48.7,23529,15921,22219,3284682,775352
166,3018,159.682900,0.0,344.3,24241,16413,16413,0,5651139
167,3019,230.292000,0.0,999.3,22218,15118,15118,0,15106925
168,3020,576.645000,24.0,16.0,23263,15901,21168,558315,254412
169,3021,642.070000,233.4,167.7,26633,18131,24082,6216042,3040523
170,3022,263.228900,17.4,937.5,25803,17478,17730,448977,16385921
171,3023,384.276000,81.9,215.7,24475,16653,19695,2004493,3592129
172,3024,211.802900,126.0,212.7,22766,15485,19113,2868528,3293763
173,3025,110.011000,183.2,100.8,22987,15798,21211,4211244,1592412
174,3026,205.408000,135.2,248.9,23030,15819,19256,3113637,3937306
175,3027,287.549000,18.1,73.3,25345,17412,19735,458749,1276332
176,3028,640.394000,105.5,52.6,25061,17250,23270,2643891,907369
177,3029,197.193900,397.9,143.7,23446,16078,22140,9329276,2310448
178,3030,122.726000,277.3,403.6,23401,16107,20011,6489131,6500880
179,3031,148.043000,59.0,29.3,25042,17231,23257,1477466,504867
180,3032,934.578000,28.2,0.0,25609,17495,25609,722181,0
181,3033,101.443000,0.0,164.1,26418,18114,18114,0,2972570
182,3034,261.434000,25.2,198.3,23968,16409,17737,603994,3253926
183,3035,182.027700,279.0,171.4,23344,16003,21375,6513013,2742909
184,3036,119.692000,198.7,805.4,23186,15965,18078,4607069,12858368
185,3037,177.067000,77.0,63.4,24664,16968,22129,1899110,1075776
186,3038,160.343600,38.7,0.0,26015,17899,26015,1006796,0
187,3039,415.974000,45.0,36.2,25704,17654,23093,1156661,639067
188,3040,189.855000,407.0,59.3,22058,15212,21510,8977499,902044
189,3041,117.519800,99.4,40.1,23317,16121,21921,2317721,646454
190,3042,113.806000,31.0,42.5,25233,17456,21734,782210,741882
191,3043,647.920700,27.7,0.0,23689,16336,23689,656199,0
192,3044,594.333000,20.3,242.2,25206,17404,18365,511686,4215187
193,3045,190.772500,3.8,3.8,24346,16863,21550,92514,64078
194,3046,162.411000,9.3,0.0,27767,19169,27767,258231,0
195,3047,375.452000,8.6,0.0,27103,18682,27103,233089,0
196,3048,589.640800,8.8,0.0,29395,20267,29395,258674,0
197,3049,321.027900,40.3,40.6,26837,18553,23727,1081526,753240
198,3050,318.192000,14.7,3.0,25687,17756,24827,377602,53269
199,3051,466.179000,18.4,3.8,24964,17284,24121,459331,65678
200,3052,400.454800,12.6,20.8,29970,20649,25345,377623,429498
201,3053,177.801000,20.3,2.3,30103,20738,29510,611095,47698
202,3054,720.889000,105.0,45.9,26981,18643,25257,2833013,855725
203,3055,317.298600,6.6,0.0,23426,16221,23426,154609,0
204,3056,394.981000,18.9,0.0,24944,17302,24944,471436,0
205,3057,580.551000,18.8,4.2,27095,18749,26114,509392,78744
206,3058,571.256900,68.5,2.4,22237,15482,22099,1523222,37156
207,3059,326.478000,2.6,0.0,24823,17170,24823,64539,0
208,3060,366.283800,8.2,0.0,23909,16628,23909,196055,0
209,3061,276.921700,12.9,0.0,25289,17529,25289,326222,0
210,3062,344.199600,3.7,0.0,26999,18677,26999,99898,0
211,3063,324.423600,18.7,5.9,30952,21388,29437,578810,126191
212,3064,164.021000,0.0,0.0,21175,14754,0,0,0
213,3065,625.629000,1.6,0.0,22512,15379,22512,36019,0
214,3066,119.484000,22.7,3.9,24673,16804,23941,560068,65535
215,3067,280.309000,19.5,26.8,23954,16336,20522,467108,437809
216,3068,128.524000,17.5,0.0,24713,17011,24713,432474,0
217,3069,328.455000,23.3,0.0,24202,16670,24202,563903,0
218,3070,104.871000,12.1,0.0,26872,18453,26872,325156,0
219,3071,1116.773000,42.8,0.0,26392,18209,26392,1129568,0
220,3072,128.449000,0.0,0.0,25549,17645,0,0,0
221,3073,847.811000,17.8,7.0,28144,19343,26472,500961,135401
222,3074,1005.776000,71.9,2.1,27034,18762,26892,1943729,39400
223,3075,630.539000,5.6,37.8,33664,23208,25288,188516,877251
224,3076,283.189000,11.1,10.7,32581,22296,28826,361651,238568
225,3077,1323.229000,46.8,55.0,33114,22734,28836,1549724,1250377
226,3078,328.306000,21.6,2.1,33098,22885,32538,714921,48059
227,3079,213.211000,170.2,66.3,35008,24235,32976,5958298,1606789
228,3080,504.771900,9.4,1.3,34053,23460,33246,320096,30498
229,3081,273.232000,12.3,0.0,35766,24679,35766,439924,0
230,3082,854.462000,19.0,6.8,31690,22252,30029,602106,151313
231,3083,108.483000,26.6,2.0,34779,24191,34324,925117,48381
232,3084,328.557000,24.8,6.8,30860,21705,29573,765328,147596
233,3085,503.533000,52.8,14.4,30100,21252,28862,1589271,306035
234,3086,363.954000,0.0,0.0,31124,21758,0,0,0
235,3087,248.846500,12.4,3.8,30781,21711,29379,381688,82500
236,3088,251.523600,115.5,4.1,28812,19942,28628,3327738,81763
237,3089,340.006000,111.8,8.3,28736,19917,28362,3212633,165311
238,3090,117.336000,15.1,0.0,31436,21688,31436,474678,0
239,3091,249.087000,46.4,0.6,31157,21497,31083,1445682,12898
240,3092,151.026000,0.0,1008.3,37783,25638,25638,0,25850693
241,3093,190.035900,0.0,0.0,39472,26869,0,0,0
242,3094,270.826000,14.5,230.6,41735,28562,29818,605155,6586385
243,3095,323.101000,64.3,60.7,43935,29973,38905,2825048,1819357
244,3096,241.225000,14.6,0.0,41907,28583,41907,611846,0
245,3097,206.029000,98.9,86.1,45266,30897,40354,4476773,2660213
246,3098,360.834000,21.3,2.9,37518,25515,36616,799134,73994
247,3099,571.996000,27.3,3.3,39047,26565,38207,1065974,87665
248,3162,2426.549000,280.1,54.2,33264,22547,32155,9317212,1222053
249,3208,207135.361000,18.2,3.4,0,3,1,8,11
250,3209,173541.740000,48.4,8.4,6,11,6,274,89
251,3210,28964.059000,2.0,0.0,96,71,96,191,0
252,3211,32440.592000,6.1,0.0,84,64,84,514,0
253,3212,32961.457000,6.0,0.0,851,572,851,5103,0
254,3213,6989.047000,7.1,0.0,1347,899,1347,9561,0
255,3214,4754.416000,11.1,1.3,1673,1114,1636,18568,1448
256,3215,22763.312000,0.0,4.0,1886,1249,1249,0,4994
257,3216,26993.092000,2.0,0.0,628,416,628,1257,0
258,3217,10735.960000,0.0,0.0,368,243,0,0,0
259,3218,8822.773000,2.0,0.0,1097,758,1097,2195,0
260,3219,723.179000,2.0,0.0,2160,1536,2160,4320,0
261,3220,1309.032000,10.2,0.0,4411,3054,4411,44995,0
262,3221,867.559000,4.1,0.0,6369,4361,6369,26113,0
263,3222,4043.963000,3.0,0.0,7322,4995,7322,21965,0
264,3223,3872.525000,0.0,0.0,2163,1491,0,0,0
265,3224,868.163000,6.1,34.9,2529,1752,1928,15427,61149
266,3225,1860.430000,0.0,0.0,4199,2905,0,0,0
267,3226,928.976000,5.1,0.0,6423,4396,6423,32759,0
268,3227,2031.123000,1.0,0.0,2912,1901,2912,2912,0
269,3228,1053.482000,0.0,0.0,3884,2669,0,0,0
270,3229,2371.781000,1.1,0.0,5855,4007,5855,6440,0
271,3230,257410.403000,24.2,0.0,0,3,0,4,0
272,3231,144822.518000,27.3,0.0,4,10,4,101,0
273,3232,56523.745000,2.0,0.0,24,22,24,48,0
274,3233,38625.468000,11.1,0.0,224,156,224,2487,0
275,3234,2753.319000,5.1,0.0,22386,15057,22386,114166,0
276,3235,57752.133000,0.0,0.0,191,127,0,0,0
277,3236,31578.966000,0.0,0.0,1450,966,0,0,0
278,3237,29510.507000,2.0,0.0,982,650,982,1963,0
279,3238,13506.903000,2.0,0.0,1408,931,1408,2816,0
280,3239,13856.707000,0.0,0.0,4195,2779,0,0,0
281,3240,11807.398000,0.0,0.0,5338,3540,0,0,0
282,3241,16231.140000,0.0,0.0,4236,2793,0,0,0
283,3242,758.595000,0.0,0.0,3520,2282,0,0,0
284,3243,1482.483000,0.0,364.9,5551,3625,3625,0,1322811
285,3244,184.899000,0.0,0.0,7978,5299,0,0,0
286,3245,653.016000,0.0,0.0,10651,7134,0,0,0
287,3246,1309.840000,8.2,21.6,10864,7339,8710,89085,158529
288,3247,1564.882000,0.0,0.0,10810,7305,0,0,0
289,3248,336.888000,0.0,0.0,7982,5330,0,0,0
290,3249,570.442000,0.0,0.0,10589,7093,0,0,0
291,3250,513.752000,0.0,0.0,11676,7875,0,0,0
292,3251,316.357000,2.1,0.0,11404,7693,11404,23949,0
293,3252,706.531000,4.2,0.0,9752,6580,9752,40959,0
294,3253,688.043500,0.0,0.0,9235,6229,0,0,0
295,3254,619.922000,0.0,0.0,10646,7196,0,0,0
296,3255,605.017000,0.0,0.0,10605,7162,0,0,0
297,3256,648.094000,0.0,0.0,9281,6258,0,0,0
298,3257,444.150000,0.0,0.0,8879,6009,0,0,0
299,3258,2410.929000,0.0,0.0,5235,3318,0,0,0
300,3259,3715.699000,0.0,0.0,5238,3504,0,0,0
301,3260,2671.805800,0.0,0.0,8122,5490,0,0,0
302,3261,1582.162900,27.3,0.0,10433,7096,10433,284830,0
303,3262,188.395700,0.0,0.0,12679,8539,0,0,0
304,3263,866.979600,8.2,0.0,11421,7718,11421,93654,0
305,3264,1468.867000,22.3,0.0,12820,8532,12820,285885,0
306,3265,1418.170800,0.0,0.0,5083,3588,0,0,0
307,3266,821.075000,0.0,0.0,14797,9871,0,0,0
308,3267,766.238000,12.2,0.0,14691,9846,14691,179235,0
309,3268,632.568000,29.4,3.5,15640,10454,15297,459829,36587
310,3269,279.003000,8.2,0.0,16731,11090,16731,137193,0
311,3270,792.106900,24.8,0.0,15762,10461,15762,390907,0
312,3271,383.446600,15.2,0.0,16183,10593,16183,245983,0
313,3272,343.771000,1.1,0.0,12569,8348,12569,13826,0
314,3273,633.424800,1.1,0.0,7567,5184,7567,8324,0
315,3274,1995.729000,5.1,0.0,5343,3768,5343,27249,0
316,3275,3882.291000,47.4,2.1,22499,13327,22263,1066443,27987
317,3276,9346.634000,0.0,0.0,2724,1524,0,0,0
318,3277,17984.067000,12.2,0.0,7672,5074,7672,93599,0
319,3278,4853.785000,23.2,50.8,14006,9506,11457,324937,482897
320,3279,2749.175000,0.0,0.0,9736,6602,0,0,0
321,3280,5307.998000,0.0,0.0,17023,11325,0,0,0
322,3281,1142.203900,33.4,8.2,19579,12977,18736,653936,106408
323,3282,599.135000,25.3,5.9,18959,12576,18180,479672,74196
324,3283,477.205000,28.3,1.9,19511,12929,19258,552175,24565
325,3284,521.499600,21.3,1.0,19250,12568,19068,410033,12568
326,3285,385.465000,13.2,1.3,19515,12739,19139,257600,16561
327,3286,176.827600,8.2,1.1,18229,11862,17757,149475,13048
328,3287,267.621600,11.2,0.0,12975,8576,12975,145321,0
329,3288,238.534000,0.0,0.0,10338,6941,0,0,0
330,3289,163.677000,0.0,0.0,9523,6407,0,0,0
331,3290,174.639800,28.4,15.0,22608,14884,20757,642065,223262
332,3291,209.438000,58.7,5.8,21871,14395,21455,1283819,83489
333,3292,186.654600,30.5,2.5,21629,14039,21275,659680,35099
334,3293,173.045000,2.1,4.3,21783,14127,17574,45745,60746
335,3294,727.000000,3.1,0.0,17184,11204,17184,53271,0
336,3295,696.542000,6.2,0.0,21519,13657,21519,133419,0
337,3296,748.416700,3.1,0.0,20138,13452,20138,62429,0
338,3297,483.923800,17.2,11.6,20987,14040,18994,360978,162864
339,3298,341.181500,18.2,20.3,22040,14586,19062,401137,296094
340,3299,468.218700,38.4,9.4,21765,14228,20805,835792,133742
341,3300,518.202000,27.4,1.6,21673,14187,21421,593830,22698
342,3301,572.817000,3.3,0.0,19752,12551,19752,65181,0
343,3302,2524.758000,18.2,4.6,22754,13314,21517,414116,61244
344,3303,152.027800,17.3,2.7,19478,13021,18928,336963,35158
345,3304,483.964900,55.6,4.9,22302,15009,21938,1239978,73544
346,3305,250.012000,16.3,1.0,22774,15316,22511,371215,15316
347,3306,536.764000,46.6,0.0,22117,14717,22117,1030648,0
348,3307,166.749000,5.0,2.1,22408,14876,20899,112042,31241
349,3308,1024.738000,4.1,0.0,20625,13837,20625,84561,0
350,3309,2185.610000,32.4,112.5,17983,11434,13566,582659,1286303
351,3310,1526.812000,10.1,0.0,20892,14150,20892,211009,0
352,3311,371.061500,2.1,0.0,20473,13917,20473,42993,0
353,3312,342.165000,33.6,2.0,20391,13841,20167,685153,27683
354,3313,428.880700,17.5,11.4,22967,15593,20904,401927,177758
355,3314,166.714800,9.5,0.0,23650,16047,23650,224678,0
356,3315,338.828000,5.0,0.0,22996,15522,22996,114978,0
357,3316,236.586000,11.2,0.0,23259,15660,23259,260504,0
358,3317,138.552600,18.2,18.9,22467,15228,19698,408904,287808
359,3318,283.505900,15.2,0.0,25165,17139,25165,382511,0
360,3319,188.265000,5.0,0.0,24031,16356,24031,120155,0
361,3320,570.250000,2.1,0.0,18955,13004,18955,39805,0
362,3321,1152.336000,75.6,27.4,21842,14938,20615,1651277,409297
363,3322,3371.159000,6.0,0.0,18955,13004,18955,113730,0
364,3323,525.119000,21.3,0.0,20474,14024,20474,436098,0
365,3324,330.974000,0.0,0.0,22915,15647,0,0,0
366,3325,1309.365000,53.4,13.6,18042,12286,17283,963442,167090
367,3326,794.392000,45.7,4.8,20239,13836,19861,924912,66414
368,3327,75546.211000,2.0,0.0,0,1,0,0,0
369,3328,1250008.950000,4.0,0.0,0,0,0,0,0
370,3329,168315.931000,13.1,24.4,557,302,423,7296,7376
371,3330,42159.251000,5.1,3.9,1979,1114,1708,10095,4346
372,3331,3848.779000,0.0,1017.4,6560,3813,3813,0,3879369
373,3332,11449.030000,1.0,401.3,6683,4056,4067,6683,1627664
374,3333,5067.114000,166.4,75.0,10592,7263,9886,1762482,544715
375,3334,1307.998000,32.5,17.9,17563,11936,16172,570812,213648
376,3335,655.597500,15.0,0.0,20797,14209,20797,311952,0
377,3336,398.568500,19.9,2.4,22826,15616,22342,454238,37478
378,3337,253.341000,11.4,0.0,24311,16618,24311,277141,0
379,3338,1501.138000,79.5,35.9,13646,9313,12726,1084828,334349
380,3339,2356.452000,10.0,0.0,17121,11714,17121,171212,0
381,3340,333.452000,7.2,0.0,21513,14752,21513,154892,0
382,3341,645.470000,13.2,1.0,21883,15010,21585,288851,15010
383,3342,7795.382000,44.3,4.4,12686,8226,12437,562001,36193
384,3343,4202.386000,29.3,0.0,11644,7981,11644,341156,0
385,3344,2143.392000,0.0,0.0,16854,11613,0,0,0
386,3345,639.092000,5.0,74.0,21281,14621,15299,106405,1081951
387,3346,645.585000,15.2,12.4,22937,15829,20610,348643,196276
388,3347,327.280000,10.2,4.3,24893,17180,23343,253904,73874
389,3348,511.805000,12.4,0.0,25006,17361,25006,310072,0
390,3349,652.175800,9.1,0.0,18418,12769,18418,167606,0
391,3350,647.940900,5.3,0.0,21521,14889,21521,114059,0
392,3351,403.688000,0.0,0.0,25722,17886,0,0,0
393,3352,1448.019000,5.1,1.6,18066,12492,17187,92135,19987
394,3353,328.514000,1.0,0.0,22134,15307,22134,22134,0
395,3354,163.525000,7.1,16.3,21930,15139,18005,155705,246773
396,3355,278.701000,9.1,0.0,22342,15430,22342,203308,0
397,3356,1104.924000,6.1,0.0,22541,15631,22541,137497,0
398,3357,836.003000,7.2,0.0,31217,21564,31217,224763,0
399,3358,791.763000,16.4,2.1,34138,23508,33384,559865,49366
400,3359,219.465000,0.0,0.0,28499,20084,0,0,0
401,3360,1410.198000,6.0,0.0,22818,16204,22818,136907,0
402,3361,1684.807000,4.1,0.0,17358,11952,17358,71169,0
403,3362,881.993000,6.1,1.9,22480,15446,21378,137128,29347
404,3363,750.479000,3.1,0.0,23602,16328,23602,73166,0
405,3364,1114.584000,0.0,210.4,24278,16566,16566,0,3485421
406,3365,424.817000,3.1,0.0,26042,18037,26042,80732,0
407,3366,117.721000,4.1,0.0,30723,21265,30723,125965,0
408,3367,388.218000,2.2,0.0,31179,21621,31179,68593,0
409,3368,478.811800,3.1,0.0,28192,19371,28192,87394,0
410,3369,404.859600,4.1,0.0,28668,19783,28668,117541,0
411,3370,440.871000,0.0,0.0,31310,21513,0,0,0
412,3371,1532.461000,51.5,17.2,27639,19149,26229,1423422,329370
413,3376,4182.465000,1.0,20.1,17197,11354,11803,17197,228208
414,3377,532.075000,0.0,0.0,24531,16746,0,0,0
415,3378,825.387000,6.1,0.0,25622,17323,25622,156293,0
416,3379,1077.607000,7.1,0.0,25220,17062,25220,179062,0
417,3380,527.864000,2.1,0.0,33425,22933,33425,70192,0
418,3381,342.165900,3.0,2.9,27123,18189,23855,81369,52748
419,3382,528.335000,5.1,0.0,29419,19821,29419,150039,0
420,3383,700.132600,4.2,0.0,31623,21321,31623,132815,0
421,3384,909.313900,4.2,0.0,29989,20159,29989,125954,0
422,3385,152.801000,4.2,0.0,36907,25210,36907,155010,0
423,3386,1286.907000,58.7,0.0,34374,23459,34374,2017782,0
424,3394,45375.806000,13.1,0.0,4635,2934,4635,60718,0
425,3395,1165.378000,76.0,0.0,29385,19561,29385,2233259,0
426,3396,21863.316000,0.0,0.0,9730,6290,0,0,0
427,3397,1471.519000,14.1,0.0,24745,16569,24745,348906,0
428,3398,767.664800,12.1,0.8,28133,18942,27784,340412,15154
429,3399,595.181000,20.3,3.5,32074,21640,31101,651094,75740
430,3400,419.314500,1.1,0.0,36295,24720,36295,39924,0
431,3401,1346.022000,0.0,0.0,20871,13980,0,0,0
432,3402,747.449600,7.1,12.3,26123,17559,21771,185474,215982
433,3403,652.229000,18.2,0.0,29631,19974,29631,539277,0
434,3404,325.845000,10.2,0.0,31933,21595,31933,325719,0
435,3405,118.305000,3.1,0.0,34097,23111,34097,105700,0
436,3406,155.580000,0.0,0.0,31495,21299,0,0,0
