OID_,TAZID,SA_TAZID,CO_TAZID,SUBAREAID,EXTERNAL,ACRES,DEVACRES,X,Y,ADJ_XY,CO_FIPS,CO_NAME,DISTSUPER,DSUP_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME,IMX_GENRL,IMX_COALIX,IMX_OLGAIX,IMX_OLGAXI,IMX_PETRIX,TAZID_1,CO_TAZID_1,DEVACRES_1,HH,JOB,AUTO_JB,AUTO_HH,COMP_AUTO,AUTO_JB_WT,AUTO_HH_WT,TAZID_12,CO_TAZID_12,DEVACRES_12,HH_1,JOB_1,AUTO_JB_1,AUTO_HH_1,TRAN_JB,TRAN_HH,COMP_AUTO_1,COMP_TRAN,AUTO_JB_WT_1,AUTO_HH_WT_1,TRAN_JB_WT,TRAN_HH_WT
6145,3709,144,570144,1,0,385.750000000000000,385.750000000000000,410560.675909999990836,4575720.936030000448227,0,57,WEBER,14,Wastch Front Shoulder West/North,2,North and West Weber,6,NW Weber,24,NW Weber,Plain City,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3709,570144,385.750000000000000,31.199999999999999,0.000000000000000,77215,54865,77215,2409122,0.000000000000000,144,570144,385.750000000000000,31.199999999999999,0.000000000000000,74352,52754,0,0,74352,0,2319780,0,0,0
6146,3708,143,570143,1,0,2171.719999999999800,2026.240000000000009,408302.688399999984540,4575421.814790000207722,0,57,WEBER,14,Wastch Front Shoulder West/North,2,North and West Weber,6,NW Weber,23,NW Weber,Weber County,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3708,570143,2026.240000000000009,50.299999999999997,0.000000000000000,64942,47832,64942,3266569,0.000000000000000,143,570143,2026.240000000000009,50.299999999999997,0.000000000000000,62556,46107,0,0,62556,0,3146589,0,0,0
6147,3711,146,570146,1,0,376.720000000000027,376.720000000000027,410207.499379999993835,4573880.732479999773204,0,57,WEBER,14,Wastch Front Shoulder West/North,2,North and West Weber,6,NW Weber,24,NW Weber,Plain City,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3711,570146,376.720000000000027,74.500000000000000,2.000000000000000,80559,58486,80211,6001666,116972.000000000000000,146,570146,376.720000000000027,74.500000000000000,2.000000000000000,78115,56697,0,0,77801,0,5819536,113393,0,0
6148,3714,149,570149,1,0,602.049999999999955,602.049999999999955,411636.611210000002757,4572498.744230000302196,0,57,WEBER,14,Wastch Front Shoulder West/North,2,North and West Weber,6,NW Weber,24,NW Weber,Weber County,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3714,570149,602.049999999999955,341.300000000000011,39.700000000000003,97162,68016,95270,33161221,2700246.000000000000000,149,570149,602.049999999999955,341.300000000000011,39.700000000000003,94068,65810,0,0,92361,0,32105457,2612648,0,0
6150,3715,150,570150,1,0,681.809999999999945,675.269999999999982,412909.138099999981932,4575736.334309999831021,0,57,WEBER,14,Wastch Front Shoulder West/North,2,North and West Weber,6,NW Weber,25,NW Weber,Farr West,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3715,570150,675.269999999999982,535.200000000000045,393.699999999999989,91894,63838,83338,49181906,25132912.000000000000000,150,570150,675.269999999999982,535.200000000000045,393.699999999999989,88455,61292,0,0,80602,0,47341147,24130726,0,0
6151,3710,145,570145,1,0,700.879999999999995,700.879999999999995,411522.004040000028908,4575370.186649999581277,0,57,WEBER,14,Wastch Front Shoulder West/North,2,North and West Weber,6,NW Weber,24,NW Weber,Plain City,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3710,570145,700.879999999999995,166.699999999999989,0.000000000000000,81581,57703,81581,13599613,0.000000000000000,145,570145,700.879999999999995,166.699999999999989,0.000000000000000,78743,55608,0,0,78743,0,13126462,0,0,0
6152,3716,151,570151,1,0,612.059999999999945,612.059999999999945,413359.819499999983236,4574115.996369999833405,0,57,WEBER,14,Wastch Front Shoulder West/North,2,North and West Weber,6,NW Weber,25,NW Weber,Farr West,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3716,570151,612.059999999999945,245.500000000000000,151.500000000000000,103689,71467,95019,25455550,10827296.000000000000000,151,570151,612.059999999999945,245.500000000000000,151.500000000000000,100331,69038,0,0,92370,0,24631249,10459230,0,0
6153,3713,148,570148,1,0,445.199999999999989,445.199999999999989,409968.141360000008717,4572545.909660000354052,0,57,WEBER,14,Wastch Front Shoulder West/North,2,North and West Weber,6,NW Weber,24,NW Weber,Plain City,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3713,570148,445.199999999999989,258.199999999999989,195.699999999999989,83923,61396,76909,21668981,12015202.000000000000000,148,570148,445.199999999999989,258.199999999999989,195.699999999999989,81438,59586,0,0,74985,0,21027243,11661034,0,0
6154,3724,159,570159,1,0,1076.910000000000082,1063.049999999999955,408244.654280000017025,4571100.447320000268519,0,57,WEBER,14,Wastch Front Shoulder West/North,2,North and West Weber,6,NW Weber,27,NW Weber,Plain City,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3724,570159,1063.049999999999955,527.200000000000045,217.000000000000000,88548,64040,83717,46682657,13896645.000000000000000,159,570159,1063.049999999999955,527.200000000000045,217.000000000000000,86350,62418,0,0,81913,0,45523606,13544636,0,0
6155,3728,163,570163,1,0,135.789999999999992,100.230000000000004,410194.132609999971464,4571030.363079999573529,0,57,WEBER,14,Wastch Front Shoulder West/North,2,North and West Weber,6,NW Weber,28,NW Weber,Marriott-Slaterville,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3728,570163,100.230000000000004,6.300000000000000,41.799999999999997,97765,68019,74019,615922,2843207.000000000000000,163,570163,100.230000000000004,6.300000000000000,41.799999999999997,95331,66365,0,0,72570,0,600588,2774040,0,0
