,CityName,CO_TAZID,AUTO_JB,TRAN_JB
0,Plain City,570144,74352.0,0.0
1,Plain City,570143,62556.0,0.0
2,Plain City,570146,78115.0,0.0
3,Plain City,570149,94068.0,0.0
4,Farr West,570150,88455.0,0.0
5,Plain City,570145,78743.0,0.0
6,Farr West,570151,100331.0,0.0
7,Plain City,570148,81438.0,0.0
8,Plain City,570159,86350.0,0.0
9,Marriott-Slaterville,570163,95331.0,0.0
10,Marriott-Slaterville,570164,105937.0,0.0
11,Plain City,570161,90232.0,0.0
12,Marriott-Slaterville,570165,113965.0,0.0
13,Ogden Valley,570166,93002.0,0.0
14,Marriott-Slaterville,570170,94294.0,0.0
15,Marriott-Slaterville,570172,113724.0,0.0
16,Pleasant View,570176,81788.0,1344.0
17,Pleasant View,570181,64906.0,0.0
18,Pleasant View,570180,60432.0,0.0
19,North Ogden,570182,56484.0,0.0
20,Pleasant View,570179,88743.0,2549.0
21,Pleasant View,570183,74219.0,393.0
22,North Ogden,570184,71515.0,1971.0
23,Pleasant View,570185,85533.0,586.0
24,North Ogden,570189,77796.0,4315.0
25,North Ogden,570191,81702.0,4276.0
26,North Ogden,570186,80096.0,3483.0
27,Farr West,570194,97906.0,6550.0
28,Harrisville,570197,97523.0,7104.0
29,North Ogden,570201,84370.0,4407.0
30,North Ogden,570198,92232.0,4290.0
31,North Ogden,570204,86789.0,4627.0
32,Harrisville,570196,89623.0,2795.0
33,Harrisville,570199,96781.0,6206.0
34,Ogden,570207,91794.0,4216.0
35,North Ogden,570206,79068.0,302.0
36,Ogden,570208,85120.0,3349.0
37,Farr West,570211,106029.0,5914.0
38,Marriott-Slaterville,570213,117243.0,6093.0
39,Harrisville,570200,102566.0,7916.0
40,Ogden,570215,112490.0,8073.0
41,Ogden,570216,123140.0,5792.0
42,Ogden,570217,103712.0,12193.0
43,Ogden,570218,113239.0,12142.0
44,Ogden,570219,112596.0,16410.0
45,Ogden,570210,95607.0,5232.0
46,Ogden,570220,105024.0,14041.0
47,Ogden,570222,95482.0,3830.0
48,Ogden,570223,91709.0,1634.0
49,Ogden,570224,104434.0,9387.0
50,Ogden,570225,98529.0,6390.0
51,Ogden,570226,115440.0,13356.0
52,Ogden,570221,108074.0,14337.0
53,Ogden,570227,113970.0,11128.0
54,Ogden,570228,108301.0,11197.0
55,Ogden Valley,570234,99292.0,0.0
56,Ogden Valley,570235,105461.0,0.0
57,West Haven,570245,125735.0,3413.0
58,West Haven,570247,132054.0,5124.0
59,Ogden Valley,570240,96288.0,0.0
60,Ogden Valley,570250,92351.0,0.0
61,Ogden Valley,570251,95267.0,0.0
62,West Haven,570248,124585.0,2992.0
63,West Haven,570254,112577.0,0.0
64,West Haven,570256,90551.0,0.0
65,Ogden Valley,570253,99721.0,0.0
66,West Haven,570257,89926.0,0.0
67,West Haven,570249,114828.0,2736.0
68,West Haven,570259,110427.0,1263.0
69,Ogden,570261,129036.0,6077.0
70,Ogden,570260,128541.0,6472.0
71,Ogden,570262,136841.0,9074.0
72,West Haven,570276,90303.0,1456.0
73,Roy,570280,106199.0,5357.0
74,Roy,570283,116555.0,5350.0
75,Roy,570287,103001.0,4922.0
76,Roy,570291,110719.0,1298.0
77,Roy,570292,110277.0,3223.0
78,Roy,570293,124010.0,3381.0
79,Roy,570298,107786.0,4579.0
80,Roy,570297,144220.0,13636.0
81,Roy,570302,141295.0,11193.0
82,Marriott-Slaterville,570303,124283.0,5447.0
83,West Haven,570305,137442.0,9129.0
84,Ogden,570306,124608.0,12694.0
85,Ogden,570308,117916.0,17673.0
86,Ogden,570309,113121.0,15625.0
87,Ogden,570310,117207.0,11401.0
88,Ogden,570229,104698.0,10476.0
89,Ogden,570312,107408.0,11069.0
90,Ogden,570313,140566.0,12161.0
91,Ogden,570314,134217.0,11282.0
92,Ogden,570315,130791.0,7198.0
93,Ogden,570316,117821.0,17809.0
94,Ogden,570318,122996.0,19121.0
95,Ogden,570323,122543.0,24452.0
96,Ogden,570319,121764.0,18577.0
97,Ogden,570322,123682.0,21572.0
98,Ogden,570321,124363.0,24203.0
99,Ogden,570317,113103.0,12209.0
100,Ogden,570320,123692.0,25766.0
101,Ogden,570325,125080.0,27584.0
102,Ogden,570326,124337.0,26106.0
103,Ogden,570324,121336.0,24127.0
104,Ogden,570327,123302.0,26852.0
105,Ogden,570328,121942.0,26799.0
106,Ogden,570329,125704.0,25989.0
107,Ogden,570330,125146.0,25696.0
108,Ogden,570331,124015.0,25957.0
109,Ogden,570332,122667.0,25716.0
110,Ogden,570333,127912.0,24893.0
111,Ogden,570334,126682.0,23887.0
112,Ogden,570335,125436.0,25612.0
113,Ogden,570336,123925.0,26007.0
114,Ogden,570311,113517.0,10394.0
115,Ogden,570337,115115.0,15530.0
116,Ogden,570338,116534.0,18275.0
117,Ogden,570339,116648.0,19758.0
118,Ogden,570340,117394.0,20094.0
119,Ogden,570341,115378.0,11011.0
120,Ogden,570342,116819.0,9859.0
121,Ogden,570343,109490.0,11043.0
122,Ogden,570344,110477.0,15205.0
123,Ogden,570346,107216.0,3729.0
124,Ogden,570348,111096.0,7535.0
125,Ogden,570349,102321.0,0.0
126,Ogden,570351,130059.0,21331.0
127,Ogden,570350,128046.0,18593.0
128,Ogden,570353,126020.0,26634.0
129,Ogden,570354,118194.0,18731.0
130,Ogden,570355,111178.0,14281.0
131,Ogden,570357,113505.0,14520.0
132,Ogden,570375,102755.0,3413.0
133,Ogden,570361,114046.0,11381.0
134,Ogden,570362,104773.0,0.0
135,Ogden,570365,129580.0,20075.0
136,Ogden,570366,127505.0,24598.0
137,Ogden,570352,127501.0,25917.0
138,Ogden,570368,124864.0,20483.0
139,Ogden,570369,123589.0,22735.0
140,Ogden,570370,121992.0,16700.0
141,Ogden,570374,117907.0,15753.0
142,South Ogden,570377,119500.0,18703.0
143,Riverdale,570364,113067.0,10778.0
144,Ogden,570371,119028.0,15739.0
145,South Ogden,570378,121310.0,20301.0
146,South Ogden,570379,129863.0,15239.0
147,South Ogden,570380,115856.0,13708.0
148,Ogden,570372,115707.0,11870.0
149,Ogden,570381,110603.0,15042.0
150,Ogden,570373,111671.0,18194.0
151,Ogden,570382,113517.0,13085.0
152,Ogden,570376,106229.0,18207.0
153,Ogden,570385,90645.0,6006.0
154,Riverdale,570389,127885.0,17490.0
155,Washington Terrace,570392,126392.0,13465.0
156,South Ogden,570390,118202.0,13021.0
157,South Ogden,570391,129296.0,12274.0
158,Washington Terrace,570393,126439.0,10255.0
159,South Ogden,570395,121491.0,8289.0
160,South Ogden,570396,110906.0,8934.0
161,Ogden,570384,107719.0,17293.0
162,Ogden,570397,108911.0,15144.0
163,Riverdale,570388,143329.0,12698.0
164,Riverdale,570400,133777.0,11609.0
165,Riverdale,570387,109835.0,14017.0
166,Riverdale,570403,139028.0,11717.0
167,Riverdale,570404,135329.0,9838.0
168,Washington Terrace,570405,123155.0,7240.0
169,Riverdale,570406,117841.0,5516.0
170,Washington Terrace,570407,119164.0,6025.0
171,Washington Terrace,570410,129633.0,5319.0
172,South Ogden,570411,128027.0,7054.0
173,South Ogden,570415,111310.0,7939.0
174,South Ogden,570413,114132.0,4803.0
175,South Ogden,570416,118064.0,8534.0
176,South Ogden,570412,110198.0,3685.0
177,Ogden,570417,108028.0,4167.0
178,South Ogden,570418,113379.0,5319.0
179,Uintah,570414,114946.0,1381.0
180,South Ogden,570419,117413.0,2420.0
181,Roy,570290,102251.0,4418.0
182,Roy,570289,94087.0,1147.0
183,Roy,570301,127669.0,5678.0
184,Roy,570299,106487.0,3488.0
185,Roy,570399,149000.0,3585.0
186,Riverdale,570401,132629.0,0.0
187,Plain City,570154,70188.0,0.0
188,Ogden,570356,120743.0,17041.0
189,Pleasant View,570175,72217.0,0.0
190,Plain City,570160,83311.0,0.0
191,Farr West,570162,109537.0,0.0
192,Marriott-Slaterville,570173,121841.0,0.0
193,North Ogden,570190,70486.0,3303.0
194,North Ogden,570202,77679.0,1529.0
195,North Ogden,570203,75879.0,1388.0
196,North Ogden,570205,81784.0,0.0
197,Ogden,570214,95829.0,5833.0
198,Ogden,570307,110001.0,16635.0
199,Ogden,570230,96542.0,4705.0
200,Ogden Valley,570237,110979.0,0.0
201,West Haven,570242,111426.0,0.0
202,West Haven,570246,123938.0,3435.0
203,West Haven,570277,108736.0,3980.0
204,West Haven,570258,103310.0,0.0
205,West Haven,570273,92424.0,0.0
206,Hooper,570274,90291.0,0.0
207,Roy,570282,128574.0,10802.0
208,West Haven,570279,114157.0,5594.0
209,Roy,570288,105825.0,4105.0
210,Roy,570300,122866.0,3316.0
211,Ogden,570345,106135.0,4073.0
212,Ogden,570358,113535.0,16192.0
213,Ogden,570383,87828.0,16245.0
214,Ogden,570398,117614.0,14764.0
215,Washington Terrace,570408,126889.0,7094.0
216,Washington Terrace,570409,115428.0,1464.0
217,Uintah,570420,97567.0,2287.0
218,North Ogden,570188,61108.0,896.0
219,Ogden,570231,97572.0,4128.0
220,Ogden Valley,570157,79235.0,0.0
221,Ogden Valley,570142,61484.0,0.0
222,Hooper,570267,72833.0,0.0
223,Pleasant View,570177,94158.0,5664.0
224,Pleasant View,570195,98886.0,7484.0
225,Pleasant View,570178,94098.0,6026.0
226,North Ogden,570192,69201.0,2228.0
