OID_,building_type,SUM_Shape_Area,Shape_Length,Shape_Area,Acres
1,,1312271740.733424186706543,2191210.477915966417640,1311647165.434031486511230,324115
2,Agriculture,98377586.031405150890350,1186802.155269490554929,98360280.639870092272758,24305
3,Church,396945.088914196996484,17270.178403214191349,396945.088914197054692,98
4,Educational,5006217.688182533718646,98613.730551301938249,5006217.672306552529335,1237
5,Empty Buildable,31886994.938127111643553,542853.350816017133184,31886994.927151627838612,7879
6,Governmental,43921065.872941076755524,603631.959019508096389,43918480.838463678956032,10852
7,Group Quarters,32101.647216359910090,1455.415370415106281,32101.647216359913728,8
8,Healthcare,617567.647699548397213,12979.066503264759376,617567.647525029140525,153
9,Industrial,19117272.228546753525734,266113.637558685557451,19117106.908299118280411,4724
10,Multi Family Res,9321264.559512512758374,383650.615874972194433,9220992.178385630249977,2279
11,No Build,5385289.570116929709911,135970.072047682682751,5385289.573445038869977,1331
12,Office,153665.956826347421156,7021.098077847695095,153665.956826347392052,38
13,Open Space Non-Buildable,4123353.138181714806706,90816.078563415518147,4123353.138741228729486,1019
14,Other,33931.445504742638150,1570.081886076203546,33931.445504742638150,8
15,Retail,13125958.634516324847937,424011.039406475902069,13125955.454209253191948,3243
16,Single Family Res,100075246.686995238065720,3649477.321367539931089,100073046.769983679056168,24729
17,Utilities,90913.922672597647761,1517.747907783738356,90913.922672597647761,22
