primary_key,input_street,input_zone,x,y,score,locator,matchAddress,standardizedAddress,addressGrid,message
F12-31734,575 N Main Street,84032.0,464992.0446977391,4485070.34223644,100.0,AddressPoints.AddressGrid,"575 N MAIN ST, HEBER CITY",575 north main street,HEBER CITY,
F10-3837,140 E 5600 S,84107.0,425006.9881807125,4500178.33369754,100.0,AddressPoints.AddressGrid,"140 E 5600 S, SALT LAKE CITY",140 east 5600 south,SALT LAKE CITY,
F18-67900,288 E 400 N,84074.0,390743.63988546195,4488295.297837345,100.0,AddressPoints.AddressGrid,"288 E 400 N, TOOELE",288 east 400 north,TOOELE,
F20-77761,357 W 910 S,84032.0,464421.9540620225,4482878.578959992,100.0,AddressPoints.AddressGrid,"357 W 910 S, HEBER CITY",357 west 910 south,HEBER CITY,
F10-28008,2145 W 5400 S,84118.0,419910.4800833346,4500650.461253566,100.0,AddressPoints.AddressGrid,"2145 W 5400 S, SALT LAKE CITY",2145 west 5400 south,SALT LAKE CITY,
F18-60657,6141 S Redwood Rd,84123.0,420650.9035103464,4499204.4913409855,100.0,AddressPoints.AddressGrid,"6141 S REDWOOD RD, SALT LAKE CITY",6141 south redwood road,SALT LAKE CITY,
F13-37076,573 N 1000 W,84015.0,412223.1487721336,4552819.738100268,100.0,AddressPoints.AddressGrid,"573 N 1000 W, CLEARFIELD",573 north 1000 west,CLEARFIELD,
F10-28804,446 S Mall Drive,84790.0,274374.25956575724,4108986.799415097,100.0,AddressPoints.AddressGrid,"446 S MALL DR, ST GEORGE",446 south mall drive,ST GEORGE,
F10-27888,3337 W 6200 S,84129.0,417929.4335186625,4499065.860639885,100.0,AddressPoints.AddressGrid,"3337 W 6200 S, SALT LAKE CITY",3337 west 6200 south,SALT LAKE CITY,
F10-427,410 E 1250 N,84341.0,431495.90377903776,4620679.52780685,90.92,Centerlines.StatewideRoads,"410 E BOULEVARD, Logan",410 east 1250 north,Logan,
F10-10826,290 S 1500 E #115,84112.0,428388.5117790105,4512811.713442046,100.0,AddressPoints.AddressGrid,"290 S 1500 E, SALT LAKE CITY",290 south 1500 east,SALT LAKE CITY,
F11-30455,11274 Kestrel Rise Road,84095.0,415126.5522176849,4488893.1031254595,100.0,AddressPoints.AddressGrid,"11274 KESTREL RISE RD, SALT LAKE CITY","11274 Kestrel Rise Road, 84095",SALT LAKE CITY,
F21-87744,3443 W 12600 S,84065.0,417568.91908449767,4486143.788217645,100.0,AddressPoints.AddressGrid,"3443 W 12600 S, SALT LAKE CITY",3443 west 12600 south,SALT LAKE CITY,
F10-3847,968 E Sugarmont Drive,84106.0,427086.56295650895,4508307.364130739,100.0,AddressPoints.AddressGrid,"968 E SUGARMONT DR, SALT LAKE CITY",968 east sugarmont drive,SALT LAKE CITY,
F20-81480,1164 N 1210 W,84770.0,268235.4093109459,4112299.5465775062,100.0,AddressPoints.AddressGrid,"1164 N 1210 W, ST GEORGE",1164 north 1210 west,ST GEORGE,
F18-62234,475 E Tabernacle St,84770.0,271349.7964903467,4110002.5046531716,100.0,AddressPoints.AddressGrid,"475 E TABERNACLE ST, ST GEORGE",475 east tabernacle street,ST GEORGE,
F20-77306,365 N 200 W,84010.0,425343.49168668827,4527282.229790727,100.0,AddressPoints.AddressGrid,"365 N 200 W, BOUNTIFUL",365 north 200 west,BOUNTIFUL,
F10-4273,"419 Wakara Way, Suite 100",84108.0,430104.0520962969,4512363.9097369965,100.0,AddressPoints.AddressGrid,"419 WAKARA WAY, SALT LAKE CITY",419 wakara way,SALT LAKE CITY,
F16-54615,779 W Colesium Way,84047.0,422778.18878075096,4496797.280061475,97.01,AddressPoints.AddressGrid,"779 W COLISEUM WAY, SALT LAKE CITY",779 west colesium way,SALT LAKE CITY,
F21-85900,25 S Rio Grande Street,84101.0,423719.66018742416,4513385.700043928,100.0,AddressPoints.AddressGrid,"25 S RIO GRANDE ST, SALT LAKE CITY",25 south rio grande street,SALT LAKE CITY,
F18-64315,389 S 1300 W,84062.0,435573.29259452247,4467957.402231354,100.0,AddressPoints.AddressGrid,"389 S 1300 W, PLEASANT GROVE",389 south 1300 west,PLEASANT GROVE,
F18-61155,1325 W 2200 S,84119.0,421427.2098387734,4508470.313952381,100.0,AddressPoints.AddressGrid,"1325 W 2200 S, SALT LAKE CITY",1325 west 2200 south,SALT LAKE CITY,
F20-76242,412 N 600 W,84770.0,269376.8234283486,4110830.1949740443,100.0,AddressPoints.AddressGrid,"412 N 600 W, ST GEORGE",412 north 600 west,ST GEORGE,
